R_Fighter,B_Fighter,R_Status,B_Status,URL,last_round,last_round_time,format,referee,fight_type,date,location,R_KD,B_KD,R_SIG_STR,B_SIG_STR,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR,B_TOTAL_STR,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND
Marlon Vera,David Martinez,L,W,http://ufcstats.com/fight-details/36d12b31957e94db,3,5:00,3 Rnd (5-5-5),Marc Goddard,Bantamweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,5 of 39,19 of 41,12%,46%,13 of 48,26 of 51,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:45,0 of 30,10 of 28,2 of 4,5 of 7,3 of 5,4 of 6,5 of 39,16 of 36,0 of 0,0 of 0,0 of 0,3 of 5
Regina Tarin,Ernesta Kareckaite,W,L,http://ufcstats.com/fight-details/44d58943ac8e47e1,3,5:00,3 Rnd (5-5-5),Raul Porrata,Catch Weight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,37 of 79,33 of 82,46%,40%,39 of 81,39 of 90,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:21,26 of 63,26 of 70,9 of 12,5 of 9,2 of 4,2 of 3,35 of 75,29 of 78,2 of 4,4 of 4,0 of 0,0 of 0
Imanol Rodriguez,Kevin Borjas,W,L,http://ufcstats.com/fight-details/15068d7b095ca9bd,2,4:21,3 Rnd (5-5-5),Raul Porrata,Flyweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,2,12 of 22,12 of 23,54%,52%,21 of 31,14 of 25,1 of 1,0 of 0,100%,---,0,0,0,0,3:28,0:00,9 of 17,10 of 20,1 of 1,2 of 3,2 of 4,0 of 0,6 of 14,10 of 20,0 of 0,2 of 3,6 of 8,0 of 0
Erik Silva,Francis Marshall,L,W,http://ufcstats.com/fight-details/581292ffe5b09344,1,2:29,3 Rnd (5-5-5),Fernando Salas Navarro,Featherweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,5 of 9,3 of 5,55%,60%,5 of 9,10 of 13,0 of 0,1 of 2,---,50%,0,1,0,0,0:00,1:42,2 of 6,0 of 2,1 of 1,0 of 0,2 of 2,3 of 3,5 of 9,3 of 5,0 of 0,0 of 0,0 of 0,0 of 0
Ailin Perez,Macy Chiasson,W,L,http://ufcstats.com/fight-details/c40b934d2666e351,3,5:00,3 Rnd (5-5-5),Raul Porrata,Women's Bantamweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,6 of 7,4 of 5,85%,80%,10 of 11,24 of 41,2 of 2,0 of 0,100%,---,0,0,0,2,1:19,2:48,4 of 5,4 of 5,0 of 0,0 of 0,2 of 2,0 of 0,1 of 1,0 of 1,1 of 1,0 of 0,4 of 5,4 of 4
Daniel Zellhuber,King Green,L,W,http://ufcstats.com/fight-details/81f3d28d30d17378,2,4:55,3 Rnd (5-5-5),Herb Dean,Lightweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,11 of 46,41 of 64,23%,64%,11 of 46,41 of 64,0 of 0,2 of 2,---,100%,0,0,0,0,0:00,0:04,3 of 32,10 of 23,3 of 7,15 of 19,5 of 7,16 of 22,11 of 45,36 of 59,0 of 1,5 of 5,0 of 0,0 of 0
Santiago Luna,Angel Pacheco,W,L,http://ufcstats.com/fight-details/3b76a00f5d0400eb,3,5:00,3 Rnd (5-5-5),Fernando Salas Navarro,Bantamweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,26 of 56,25 of 74,46%,33%,31 of 61,26 of 75,2 of 2,0 of 0,100%,---,0,0,0,0,0:50,0:00,15 of 34,20 of 68,9 of 20,3 of 4,2 of 2,2 of 2,16 of 42,24 of 72,9 of 13,1 of 2,1 of 1,0 of 0
Damian Pinas,Wes Schultz,W,L,http://ufcstats.com/fight-details/c6a85b67fdd2ef3d,1,2:30,3 Rnd (5-5-5),Horacio Lopez Villanueva,Middleweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",2,0,15 of 23,3 of 13,65%,23%,22 of 30,5 of 16,0 of 0,0 of 6,---,0%,0,0,0,0,0:49,0:28,9 of 16,0 of 6,2 of 3,2 of 5,4 of 4,1 of 2,8 of 13,3 of 12,1 of 1,0 of 1,6 of 9,0 of 0
Douglas Silva de Andrade,Javier Reyes,L,W,http://ufcstats.com/fight-details/6154ee95d3f4fc32,1,4:59,3 Rnd (5-5-5),Herb Dean,Featherweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,1,17 of 27,46 of 75,62%,61%,19 of 29,87 of 125,0 of 0,1 of 2,---,50%,0,0,0,0,0:04,1:57,8 of 15,42 of 69,2 of 4,4 of 5,7 of 8,0 of 1,17 of 26,9 of 32,0 of 1,0 of 0,0 of 0,37 of 43
Edgar Chairez,Felipe Bunes,W,L,http://ufcstats.com/fight-details/7df505d8260ba680,3,5:00,3 Rnd (5-5-5),Marc Goddard,Flyweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,4 of 9,5 of 13,44%,38%,6 of 11,64 of 81,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,3:26,1 of 6,3 of 11,1 of 1,1 of 1,2 of 2,1 of 1,3 of 8,3 of 10,0 of 0,2 of 3,1 of 1,0 of 0
Ryan Gandra,Jose Daniel Medina,W,L,http://ufcstats.com/fight-details/45ec0c5f19c9adbe,1,0:41,3 Rnd (5-5-5),Horacio Lopez Villanueva,Middleweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",1,0,14 of 29,0 of 3,48%,0%,14 of 29,0 of 3,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,14 of 27,0 of 2,0 of 2,0 of 1,0 of 0,0 of 0,13 of 28,0 of 3,0 of 0,0 of 0,1 of 1,0 of 0
Cristian Quinonez,Kris Moutinho,W,L,http://ufcstats.com/fight-details/25ab195cefbce1d0,3,5:00,3 Rnd (5-5-5),Marc Goddard,Bantamweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,23 of 37,16 of 39,62%,41%,24 of 40,16 of 39,2 of 3,0 of 0,66%,---,0,0,0,0,1:01,0:00,20 of 30,6 of 27,3 of 7,3 of 4,0 of 0,7 of 8,23 of 37,16 of 39,0 of 0,0 of 0,0 of 0,0 of 0
Brandon Moreno,Lone'er Kavanagh,L,W,http://ufcstats.com/fight-details/1330b5c21269fe92,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Flyweight Bout,"February 28, 2026","Mexico City, Distrito Federal, Mexico",0,0,19 of 40,18 of 45,47%,40%,19 of 40,18 of 45,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,14 of 34,10 of 33,3 of 4,3 of 7,2 of 2,5 of 5,19 of 40,18 of 45,0 of 0,0 of 0,0 of 0,0 of 0
Zach Reese,Michel Pereira,L,W,http://ufcstats.com/fight-details/372d1dee0db8dbee,3,5:00,3 Rnd (5-5-5),Herb Dean,Middleweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,23 of 51,18 of 40,45%,45%,26 of 56,25 of 47,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:42,4 of 29,8 of 21,8 of 11,10 of 19,11 of 11,0 of 0,23 of 50,15 of 35,0 of 1,2 of 4,0 of 0,1 of 1
Ode Osbourne,Alibi Idiris,L,W,http://ufcstats.com/fight-details/7ffdaa44fc8d111b,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Flyweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,8 of 26,12 of 30,30%,40%,8 of 27,19 of 37,0 of 0,1 of 6,---,16%,0,0,0,0,0:00,2:00,6 of 23,8 of 23,2 of 3,0 of 0,0 of 0,4 of 7,8 of 26,12 of 29,0 of 0,0 of 0,0 of 0,0 of 1
Jacobe Smith,Josiah Harrell,W,L,http://ufcstats.com/fight-details/54437b8dba3a6110,1,3:01,3 Rnd (5-5-5),Kerry Hatley,Welterweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,33 of 47,7 of 14,70%,50%,37 of 51,7 of 14,2 of 2,0 of 2,100%,0%,0,0,0,0,0:21,0:01,18 of 29,1 of 6,9 of 10,3 of 5,6 of 8,3 of 3,23 of 37,7 of 14,0 of 0,0 of 0,10 of 10,0 of 0
Dan Ige,Melquizael Costa,L,W,http://ufcstats.com/fight-details/dc6f6c8228390ebb,1,4:56,3 Rnd (5-5-5),Jacob Montalvo,Featherweight Bout,"February 21, 2026","Houston, Texas, USA",0,1,7 of 11,19 of 40,63%,47%,12 of 16,26 of 48,1 of 3,1 of 1,33%,100%,0,0,0,0,1:31,0:32,2 of 5,9 of 26,2 of 3,7 of 9,3 of 3,3 of 5,7 of 11,13 of 29,0 of 0,4 of 5,0 of 0,2 of 6
Chidi Njokuani,Carlos Leal,L,W,http://ufcstats.com/fight-details/202d3277e569ad03,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Welterweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,46 of 70,60 of 131,65%,45%,46 of 70,60 of 131,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,8 of 23,28 of 95,19 of 27,21 of 25,19 of 20,11 of 11,39 of 62,58 of 128,7 of 8,2 of 3,0 of 0,0 of 0
Serghei Spivac,Ante Delija,W,L,http://ufcstats.com/fight-details/04b7bcc0e8488604,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Heavyweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,20 of 46,19 of 58,43%,32%,20 of 46,19 of 58,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,20 of 46,17 of 55,0 of 0,2 of 3,0 of 0,0 of 0,20 of 46,19 of 58,0 of 0,0 of 0,0 of 0,0 of 0
Phil Rowe,Jean-Paul Lebosnoyani,L,W,http://ufcstats.com/fight-details/508e622130b0a84d,3,5:00,3 Rnd (5-5-5),Herb Dean,Welterweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,14 of 26,32 of 38,53%,84%,15 of 27,43 of 53,0 of 0,1 of 4,---,25%,0,0,0,0,0:07,1:46,10 of 21,22 of 27,0 of 0,4 of 5,4 of 5,6 of 6,13 of 25,18 of 23,1 of 1,2 of 3,0 of 0,12 of 12
Jordan Leavitt,Yadier del Valle,W,L,http://ufcstats.com/fight-details/5b97f47cdd355cbe,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Featherweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,7 of 14,3 of 7,50%,42%,20 of 33,32 of 38,3 of 4,0 of 0,75%,---,0,0,0,0,4:04,0:00,4 of 8,0 of 4,2 of 5,2 of 2,1 of 1,1 of 1,4 of 7,2 of 6,0 of 0,1 of 1,3 of 7,0 of 0
Juliana Miller,Carli Judice,L,W,http://ufcstats.com/fight-details/6e78d874097a3d22,3,5:00,3 Rnd (5-5-5),Jeff Rexroad,Women's Flyweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,10 of 25,18 of 40,40%,45%,15 of 32,37 of 61,1 of 4,0 of 0,25%,---,0,0,0,0,1:58,0:52,6 of 19,11 of 29,4 of 6,5 of 9,0 of 0,2 of 2,6 of 19,14 of 36,4 of 6,3 of 3,0 of 0,1 of 1
Sean Strickland,Anthony Hernandez,W,L,http://ufcstats.com/fight-details/8d740c844353ae0e,3,2:23,5 Rnd (5-5-5-5-5),Herb Dean,Middleweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,32 of 90,23 of 48,35%,47%,33 of 91,23 of 48,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:20,24 of 80,12 of 37,3 of 5,5 of 5,5 of 5,6 of 6,32 of 90,23 of 48,0 of 0,0 of 0,0 of 0,0 of 0
Ramiz Brahimaj,Punahele Soriano,L,W,http://ufcstats.com/fight-details/8f9896e60047007f,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Welterweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,31 of 56,17 of 52,55%,32%,31 of 56,21 of 59,0 of 1,0 of 0,0%,---,0,0,0,0,0:02,0:20,13 of 37,14 of 47,17 of 18,3 of 5,1 of 1,0 of 0,30 of 54,16 of 50,1 of 2,1 of 1,0 of 0,0 of 1
Alden Coria,Luis Gurule,W,L,http://ufcstats.com/fight-details/ac39c1f00ae31e58,3,5:00,3 Rnd (5-5-5),Jeff Rexroad,Flyweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,24 of 51,11 of 33,47%,33%,26 of 53,15 of 37,0 of 1,0 of 0,0%,---,0,0,0,0,0:09,0:26,15 of 35,5 of 24,3 of 10,3 of 5,6 of 6,3 of 4,22 of 49,10 of 32,2 of 2,1 of 1,0 of 0,0 of 0
Nora Cornolle,Joselyne Edwards,L,W,http://ufcstats.com/fight-details/fd56a469e4589ebc,2,2:44,3 Rnd (5-5-5),Jacob Montalvo,Women's Bantamweight Bout,"February 21, 2026","Houston, Texas, USA",0,0,16 of 29,5 of 13,55%,38%,28 of 46,26 of 39,0 of 0,0 of 2,---,0%,0,0,0,0,0:23,2:35,9 of 20,4 of 10,6 of 7,1 of 3,1 of 2,0 of 0,4 of 13,4 of 10,12 of 16,1 of 3,0 of 0,0 of 0
Geoff Neal,Uros Medic,L,W,http://ufcstats.com/fight-details/dd12bf51c5ed7f1e,1,1:19,3 Rnd (5-5-5),Kerry Hatley,Welterweight Bout,"February 21, 2026","Houston, Texas, USA",0,1,3 of 10,10 of 19,30%,52%,3 of 10,10 of 19,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,1 of 6,4 of 10,1 of 3,6 of 9,1 of 1,0 of 0,3 of 10,10 of 19,0 of 0,0 of 0,0 of 0,0 of 0
Dustin Jacoby,Julius Walker,W,L,http://ufcstats.com/fight-details/6cca11f353a2b42d,2,1:42,3 Rnd (5-5-5),Dan Miragliotta,Light Heavyweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,13 of 20,5 of 15,65%,33%,16 of 26,10 of 20,0 of 0,3 of 6,---,50%,0,0,0,0,0:27,2:29,7 of 14,3 of 13,3 of 3,1 of 1,3 of 3,1 of 1,13 of 20,2 of 6,0 of 0,2 of 7,0 of 0,1 of 2
Bruna Brasil,Ketlen Souza,L,W,http://ufcstats.com/fight-details/cc5c5a8cff4c1ae9,3,5:00,3 Rnd (5-5-5),Herb Dean,Women's Strawweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,12 of 19,5 of 13,63%,38%,32 of 41,19 of 30,1 of 1,0 of 3,100%,0%,0,0,0,0,0:10,3:26,2 of 9,4 of 10,9 of 9,1 of 3,1 of 1,0 of 0,9 of 16,3 of 11,3 of 3,2 of 2,0 of 0,0 of 0
Jailton Almeida,Rizvan Kuniev,L,W,http://ufcstats.com/fight-details/a5c5f76cf0a7c784,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Heavyweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,5 of 12,12 of 24,41%,50%,14 of 22,33 of 45,0 of 3,0 of 0,0%,---,0,0,0,0,1:11,2:11,1 of 8,5 of 15,2 of 2,6 of 8,2 of 2,1 of 1,3 of 9,4 of 12,2 of 3,8 of 12,0 of 0,0 of 0
Jean Matsumoto,Farid Basharat,L,W,http://ufcstats.com/fight-details/2a26c0cfa06265b7,3,5:00,3 Rnd (5-5-5),Herb Dean,Bantamweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,19 of 52,20 of 36,36%,55%,29 of 68,24 of 41,1 of 2,0 of 3,50%,0%,0,0,0,0,1:19,1:10,11 of 40,13 of 28,0 of 1,5 of 5,8 of 11,2 of 3,16 of 48,15 of 31,3 of 4,5 of 5,0 of 0,0 of 0
Klaudia Sygula,Priscila Cachoeira,W,L,http://ufcstats.com/fight-details/2bbfbb234c255249,3,5:00,3 Rnd (5-5-5),Keith Peterson,Women's Bantamweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,61 of 136,34 of 71,44%,47%,62 of 137,34 of 71,0 of 1,0 of 1,0%,0%,0,0,0,0,0:00,0:00,48 of 123,21 of 57,11 of 11,4 of 4,2 of 2,9 of 10,60 of 134,34 of 71,1 of 2,0 of 0,0 of 0,0 of 0
Wang Cong,Eduarda Moura,W,L,http://ufcstats.com/fight-details/84e8ccc3c97c2b4c,3,5:00,3 Rnd (5-5-5),Keith Peterson,Catch Weight Bout,"February 07, 2026","Las Vegas, Nevada, USA",1,0,26 of 46,8 of 24,56%,33%,48 of 74,15 of 33,0 of 0,2 of 4,---,50%,0,0,0,0,0:57,1:57,10 of 25,8 of 23,11 of 14,0 of 1,5 of 7,0 of 0,17 of 33,7 of 21,4 of 7,1 of 3,5 of 6,0 of 0
Javid Basharat,Gianni Vazquez,W,L,http://ufcstats.com/fight-details/86df0e75f41784d8,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Bantamweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",1,0,31 of 50,7 of 32,62%,21%,35 of 54,8 of 33,0 of 1,0 of 0,0%,---,0,0,0,0,0:58,0:00,13 of 27,4 of 25,9 of 12,0 of 0,9 of 11,3 of 7,19 of 35,7 of 32,1 of 2,0 of 0,11 of 13,0 of 0
Muin Gafurov,Jakub Wiklacz,L,W,http://ufcstats.com/fight-details/9d30c887e8bd8824,3,4:59,3 Rnd (5-5-5),Chris Tognoni,Bantamweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,27 of 61,27 of 67,44%,40%,27 of 61,30 of 71,0 of 2,0 of 0,0%,---,0,0,0,0,0:38,0:00,17 of 47,9 of 41,9 of 11,17 of 24,1 of 3,1 of 2,21 of 53,24 of 63,6 of 8,3 of 4,0 of 0,0 of 0
Nikolay Veretennikov,Niko Price,W,L,http://ufcstats.com/fight-details/abefaf1807941ee4,1,1:42,3 Rnd (5-5-5),Chris Tognoni,Welterweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,19 of 30,9 of 23,63%,39%,20 of 31,12 of 27,0 of 0,0 of 0,---,---,0,0,0,0,0:17,0:00,12 of 22,7 of 19,6 of 7,1 of 1,1 of 1,1 of 3,10 of 21,9 of 22,9 of 9,0 of 1,0 of 0,0 of 0
Amir Albazi,Kyoji Horiguchi,L,W,http://ufcstats.com/fight-details/dbbf8334a2600895,3,5:00,3 Rnd (5-5-5),Keith Peterson,Flyweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,3 of 17,14 of 26,17%,53%,4 of 19,26 of 38,0 of 2,0 of 1,0%,0%,0,0,0,0,0:27,0:48,2 of 15,10 of 20,1 of 2,1 of 2,0 of 0,3 of 4,1 of 15,14 of 25,2 of 2,0 of 1,0 of 0,0 of 0
Michal Oleksiejczuk,Marc-Andre Barriault,W,L,http://ufcstats.com/fight-details/8fea32ab0445859c,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Middleweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,47 of 73,19 of 54,64%,35%,47 of 73,19 of 54,1 of 1,0 of 0,100%,---,0,0,0,0,0:08,0:00,32 of 56,9 of 44,8 of 9,6 of 6,7 of 8,4 of 4,46 of 71,19 of 54,0 of 0,0 of 0,1 of 2,0 of 0
Mario Bautista,Vinicius Oliveira,W,L,http://ufcstats.com/fight-details/fb4b1754d510b0d0,2,4:46,5 Rnd (5-5-5-5-5),Herb Dean,Bantamweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,0,3 of 9,6 of 8,33%,75%,22 of 29,8 of 10,1 of 2,0 of 0,50%,---,0,0,0,0,2:18,1:39,1 of 7,0 of 1,2 of 2,3 of 4,0 of 0,3 of 3,1 of 4,4 of 6,0 of 0,2 of 2,2 of 5,0 of 0
Alex Morono,Daniil Donchenko,L,W,http://ufcstats.com/fight-details/f964d2dda87f25f0,3,5:00,3 Rnd (5-5-5),Keith Peterson,Welterweight Bout,"February 07, 2026","Las Vegas, Nevada, USA",0,1,16 of 38,39 of 59,42%,66%,22 of 44,70 of 108,0 of 0,0 of 0,---,---,0,0,0,0,0:00,1:44,13 of 33,23 of 42,2 of 4,8 of 9,1 of 1,8 of 8,14 of 35,25 of 37,2 of 3,3 of 5,0 of 0,11 of 17
Rafael Fiziev,Mauricio Ruffy,L,W,http://ufcstats.com/fight-details/57d7a683b85bb87b,2,4:30,3 Rnd (5-5-5),Daniel Movahedi,Lightweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,16 of 33,18 of 28,48%,64%,17 of 34,21 of 31,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:25,2 of 12,13 of 22,7 of 11,2 of 2,7 of 10,3 of 4,14 of 31,18 of 28,2 of 2,0 of 0,0 of 0,0 of 0
Dan Hooker,Benoit Saint Denis,L,W,http://ufcstats.com/fight-details/a7ae8f6eb5fc3a79,2,4:45,3 Rnd (5-5-5),Herb Dean,Lightweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,26 of 41,35 of 46,63%,76%,34 of 49,62 of 73,0 of 0,2 of 6,---,33%,1,0,0,0,0:22,1:55,16 of 27,24 of 35,8 of 12,11 of 11,2 of 2,0 of 0,24 of 38,16 of 27,2 of 3,8 of 8,0 of 0,11 of 11
Sangwook Kim,Dom Mar Fan,L,W,http://ufcstats.com/fight-details/ad14c502c9c5a7e9,3,5:00,3 Rnd + OT (5-5-5-5),Daniel Movahedi,Road to UFC 4 Lightweight Tournament Title Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,10 of 12,16 of 19,83%,84%,18 of 21,31 of 35,1 of 5,0 of 1,20%,0%,0,0,0,1,3:14,1:25,2 of 4,10 of 11,8 of 8,5 of 7,0 of 0,1 of 1,0 of 1,1 of 1,10 of 11,15 of 18,0 of 0,0 of 0
Quillan Salkilld,Jamie Mullarkey,W,L,http://ufcstats.com/fight-details/32e9bc4d0a19a923,1,3:02,3 Rnd (5-5-5),Daniel Movahedi,Lightweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,5 of 8,1 of 4,62%,25%,18 of 21,6 of 9,2 of 3,1 of 1,66%,100%,1,0,0,0,0:39,1:14,1 of 2,1 of 4,1 of 2,0 of 0,3 of 4,0 of 0,3 of 5,0 of 3,2 of 3,1 of 1,0 of 0,0 of 0
Cam Rowston,Cody Brundage,W,L,http://ufcstats.com/fight-details/47362cae6ba0e077,2,4:08,3 Rnd (5-5-5),Jim Perdios,Middleweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,23 of 54,20 of 43,42%,46%,23 of 54,21 of 44,0 of 0,0 of 0,---,---,0,0,0,0,0:11,0:19,15 of 41,14 of 37,1 of 5,1 of 1,7 of 8,5 of 5,20 of 50,20 of 43,3 of 4,0 of 0,0 of 0,0 of 0
Kaan Ofli,Yizha,W,L,http://ufcstats.com/fight-details/4c1e7e1765a5438a,3,5:00,3 Rnd (5-5-5),Jim Perdios,Featherweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,23 of 38,19 of 34,60%,55%,28 of 44,22 of 38,0 of 2,0 of 0,0%,---,0,0,1,0,2:20,0:06,10 of 24,14 of 26,12 of 13,1 of 4,1 of 1,4 of 4,15 of 26,18 of 33,5 of 7,0 of 0,3 of 5,1 of 1
Junior Tafa,Billy Elekana,L,W,http://ufcstats.com/fight-details/d94f1b32a81e3fa1,2,3:18,3 Rnd (5-5-5),Herb Dean,Light Heavyweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",1,0,26 of 46,9 of 24,56%,37%,26 of 46,10 of 25,0 of 0,0 of 3,---,0%,0,0,0,0,0:07,0:37,13 of 32,6 of 20,10 of 11,2 of 3,3 of 3,1 of 1,25 of 42,8 of 23,0 of 3,1 of 1,1 of 1,0 of 0
Jacob Malkoun,Torrez Finney,W,L,http://ufcstats.com/fight-details/0047f8aadca1936f,3,5:00,3 Rnd (5-5-5),Steve Perceval,Middleweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,61 of 98,7 of 26,62%,26%,72 of 111,12 of 33,0 of 2,0 of 1,0%,0%,1,0,0,0,0:20,0:20,59 of 96,6 of 24,2 of 2,1 of 2,0 of 0,0 of 0,55 of 88,7 of 25,1 of 1,0 of 1,5 of 9,0 of 0
Alexander Volkanovski,Diego Lopes,W,L,http://ufcstats.com/fight-details/b06b43670238c2d8,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,UFC Featherweight Title Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,12 of 27,12 of 28,44%,42%,17 of 32,12 of 28,0 of 2,0 of 0,0%,---,0,0,0,0,0:27,0:00,5 of 12,3 of 15,0 of 1,2 of 5,7 of 14,7 of 8,12 of 26,12 of 28,0 of 1,0 of 0,0 of 0,0 of 0
Tai Tuivasa,Tallison Teixeira,L,W,http://ufcstats.com/fight-details/67765535bd0b6bdf,3,5:00,3 Rnd (5-5-5),Marc Goddard,Heavyweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,2 of 4,19 of 23,50%,82%,3 of 5,51 of 58,0 of 0,2 of 4,---,50%,0,0,0,0,0:42,3:57,1 of 3,16 of 20,1 of 1,2 of 2,0 of 0,1 of 1,1 of 2,3 of 6,1 of 2,2 of 2,0 of 0,14 of 15
Keiichiro Nakamura,Sebastian Szalay,W,L,http://ufcstats.com/fight-details/780bae82bdfc7112,3,3:48,3 Rnd + OT (5-5-5-5),Herb Dean,Road to UFC 4 Featherweight Tournament Title Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,13 of 33,23 of 63,39%,36%,13 of 33,23 of 63,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,2 of 18,13 of 44,3 of 7,7 of 16,8 of 8,3 of 3,13 of 33,22 of 62,0 of 0,1 of 1,0 of 0,0 of 0
Jonathan Micallef,Oban Elliott,W,L,http://ufcstats.com/fight-details/78912b78aa946375,2,3:31,3 Rnd (5-5-5),Marc Goddard,Welterweight Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,11 of 36,21 of 49,30%,42%,20 of 45,27 of 55,0 of 0,0 of 2,---,0%,0,0,0,0,0:35,1:05,8 of 31,16 of 43,3 of 5,1 of 2,0 of 0,4 of 4,9 of 31,16 of 43,2 of 5,5 of 5,0 of 0,0 of 1
Sulangrangbo,Lawrence Lui,L,W,http://ufcstats.com/fight-details/5c73e0013b859664,3,5:00,3 Rnd + OT (5-5-5-5),Jim Perdios,Road to UFC 4 Bantamweight Tournament Title Bout,"January 31, 2026","Sydney, New South Wales, Australia",0,0,25 of 44,12 of 40,56%,30%,27 of 46,20 of 48,0 of 0,4 of 8,---,50%,0,0,0,0,0:09,1:41,24 of 41,8 of 31,1 of 2,1 of 6,0 of 1,3 of 3,22 of 41,8 of 33,3 of 3,0 of 3,0 of 0,4 of 4
Alex Perez,Charles Johnson,W,L,http://ufcstats.com/fight-details/b5aafe149bec4306,1,3:16,3 Rnd (5-5-5),Jason Herzog,Flyweight Bout,"January 24, 2026","Las Vegas, Nevada, USA",2,0,39 of 75,8 of 25,52%,32%,55 of 94,8 of 25,0 of 0,0 of 1,---,0%,0,0,0,0,0:14,0:00,27 of 60,4 of 14,9 of 10,3 of 9,3 of 5,1 of 2,33 of 67,8 of 25,4 of 6,0 of 0,2 of 2,0 of 0
